Number,Title,Year,Runtime,Genre,Rating,Budget,Gross US & Canada,Votes,Metascore
19.,No Country for Old Men,(2007),122 min,Crime -  Drama -  Thriller,8.2,"$25,000,000","74,283,625",998594,92
20.,Snatch,(2000),102 min,Comedy -  Crime,8.2,"£6,000,000","30,328,156",872076,55
21.,Scarface,(1983),170 min,Crime -  Drama,8.3,"$25,000,000","45,598,982",863355,65
22.,Taxi Driver,(1976),114 min,Crime -  Drama,8.2,"$1,300,000","28,262,574",860716,94
23.,Slumdog Millionaire,(2008),120 min,Crime -  Drama -  Romance,8.0,"$15,000,000","141,319,928",857632,84
24.,A Clockwork Orange,(1971),136 min,Crime -  Sci-Fi,8.3,"$2,200,000","6,207,725",846041,77
25.,The Grand Budapest Hotel,(2014),99 min,Adventure -  Comedy -  Crime,8.1,"$25,000,000","59,100,318",835629,88
26.,The Big Lebowski,(1998),117 min,Comedy -  Crime,8.1,"$15,000,000","17,498,804",825320,71
27.,12 Angry Men,(1957),96 min,Crime -  Drama,9.0,"$350,000","4,360,000",810133,97
28.,Sin City,(2005),124 min,Crime -  Thriller,8.0,"$40,000,000","74,103,820",778313,74
29.,Kill Bill: Vol. 2,(2004),137 min,Action -  Crime -  Thriller,8.0,"$30,000,000","66,208,183",772394,83
30.,City of God,(2002),130 min,Crime -  Drama,8.6,"R$3,300,000","7,563,397",769233,79
31.,Prisoners,(2013),153 min,Crime -  Drama -  Mystery,8.1,"$46,000,000","61,002,302",742566,70
32.,Knives Out,(2019),130 min,Comedy -  Crime -  Drama,7.9,"$40,000,000","165,359,751",724716,82
